timestamp,city,traffic_index,vehicle_count,congestion_pct
2025-08-01T00:00:00,CityA,32.8,190,32.8
2025-08-01T01:00:00,CityA,22.2,145,22.2
2025-08-01T02:00:00,CityA,42.5,87,42.5
2025-08-01T03:00:00,CityA,36.0,320,36.0
2025-08-01T04:00:00,CityA,31.1,173,31.1
2025-08-01T05:00:00,CityA,38.0,145,38.0
2025-08-01T06:00:00,CityA,51.2,188,51.2
2025-08-01T07:00:00,CityA,66.7,276,66.7
2025-08-01T08:00:00,CityA,80.1,288,80.1
2025-08-01T09:00:00,CityA,76.4,212,76.4
2025-08-01T10:00:00,CityA,44.4,178,44.4
2025-08-01T11:00:00,CityA,43.1,193,43.1
2025-08-01T12:00:00,CityA,46.1,236,46.1
2025-08-01T13:00:00,CityA,56.0,168,56.0
2025-08-01T14:00:00,CityA,56.7,163,56.7
2025-08-01T15:00:00,CityA,49.1,133,49.1
2025-08-01T16:00:00,CityA,46.3,276,46.3
2025-08-01T17:00:00,CityA,73.4,287,73.4
2025-08-01T18:00:00,CityA,58.4,296,58.4
2025-08-01T19:00:00,CityA,73.0,276,73.0
2025-08-01T20:00:00,CityA,45.9,194,45.9
2025-08-01T21:00:00,CityA,48.5,190,48.5
2025-08-01T22:00:00,CityA,56.4,148,56.4
2025-08-01T23:00:00,CityA,59.1,186,59.1
2025-08-02T00:00:00,CityA,42.3,213,42.3
2025-08-02T01:00:00,CityA,39.9,158,39.9
2025-08-02T02:00:00,CityA,39.6,62,39.6
2025-08-02T03:00:00,CityA,20.0,197,20.0
2025-08-02T04:00:00,CityA,36.3,117,36.3
2025-08-02T05:00:00,CityA,49.8,192,49.8
2025-08-02T06:00:00,CityA,39.2,247,39.2
2025-08-02T07:00:00,CityA,80.3,310,80.3
2025-08-02T08:00:00,CityA,73.5,299,73.5
2025-08-02T09:00:00,CityA,73.2,317,73.2
2025-08-02T10:00:00,CityA,45.0,240,45.0
2025-08-02T11:00:00,CityA,49.4,238,49.4
2025-08-02T12:00:00,CityA,57.1,201,57.1
2025-08-02T13:00:00,CityA,50.6,232,50.6
2025-08-02T14:00:00,CityA,48.7,182,48.7
2025-08-02T15:00:00,CityA,49.5,265,49.5
2025-08-02T16:00:00,CityA,31.3,237,31.3
2025-08-02T17:00:00,CityA,73.5,273,73.5
2025-08-02T18:00:00,CityA,78.4,239,78.4
2025-08-02T19:00:00,CityA,69.6,365,69.6
2025-08-02T20:00:00,CityA,35.0,225,35.0
2025-08-02T21:00:00,CityA,58.3,255,58.3
2025-08-02T22:00:00,CityA,51.0,152,51.0
2025-08-02T23:00:00,CityA,54.5,168,54.5
2025-08-03T00:00:00,CityA,37.5,157,37.5
2025-08-03T01:00:00,CityA,30.0,224,30.0
2025-08-03T02:00:00,CityA,38.0,156,38.0
2025-08-03T03:00:00,CityA,34.3,124,34.3
2025-08-03T04:00:00,CityA,42.9,192,42.9
2025-08-03T05:00:00,CityA,69.1,184,69.1
2025-08-03T06:00:00,CityA,45.3,255,45.3
2025-08-03T07:00:00,CityA,78.3,285,78.3
2025-08-03T08:00:00,CityA,74.8,378,74.8
2025-08-03T09:00:00,CityA,64.0,262,64.0
2025-08-03T10:00:00,CityA,51.3,166,51.3
2025-08-03T11:00:00,CityA,43.9,261,43.9
2025-08-03T12:00:00,CityA,51.1,197,51.1
2025-08-03T13:00:00,CityA,42.8,218,42.8
2025-08-03T14:00:00,CityA,56.5,135,56.5
2025-08-03T15:00:00,CityA,39.7,234,39.7
2025-08-03T16:00:00,CityA,44.3,159,44.3
2025-08-03T17:00:00,CityA,67.6,337,67.6
2025-08-03T18:00:00,CityA,77.5,319,77.5
2025-08-03T19:00:00,CityA,69.4,259,69.4
2025-08-03T20:00:00,CityA,44.0,155,44.0
2025-08-03T21:00:00,CityA,45.5,201,45.5
2025-08-03T22:00:00,CityA,53.4,201,53.4
2025-08-03T23:00:00,CityA,47.1,285,47.1
2025-08-04T00:00:00,CityA,14.2,192,14.2
2025-08-04T01:00:00,CityA,42.3,186,42.3
2025-08-04T02:00:00,CityA,45.1,100,45.1
2025-08-04T03:00:00,CityA,45.3,179,45.3
2025-08-04T04:00:00,CityA,35.8,191,35.8
2025-08-04T05:00:00,CityA,49.5,152,49.5
